mx,my,mz
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-34.5,-44.25,116.7
-36.45,-45.0,116.7
-34.95,-45.3,116.4
-31.5,-45.3,115.2
-34.35,-45.6,115.8
-34.35,-45.6,115.8
-32.85,-45.9,117.6
-33.75,-46.8,116.7
-33.6,-46.95,116.55
-33.3,-48.15,116.4
-33.6,-46.65,116.1
-34.05,-46.8,115.95
-33.9,-48.75,115.5
-33.6,-49.05,115.8
-32.4,-49.8,114.75
-33.0,-50.4,114.9
-34.05,-50.4,115.65
-33.15,-50.1,114.75
-33.0,-51.45,112.05
-33.6,-51.9,111.75
-33.0,-53.55,113.1
-32.85,-54.15,111.45
-32.85,-54.15,111.45
-32.4,-54.45,111.45
-33.0,-53.55,109.8
-31.65,-53.4,111.15
-31.65,-53.4,111.15
-31.65,-54.75,107.85
-31.5,-56.1,108.45
-30.75,-54.3,110.55
-29.7,-55.2,109.95
-29.7,-56.55,109.65
-29.85,-54.9,110.25
-29.7,-54.15,109.65
-30.15,-54.75,111.75
-29.55,-55.65,110.85
-28.35,-55.35,110.55
-29.4,-54.75,111.15
-29.7,-53.7,111.15
-27.3,-54.6,113.1
-27.45,-54.75,114.75
-26.7,-53.4,116.1
